,train_ratio,val_ration,test_ration,batch_size,nb_epochs,learning_rate,archi,kernel_size,activation,nb_targets,nb_layers,add_pooling,pooling_size,nb_units,optimizer,loss,accuracy,precision,recall
1,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,1.0,"({'airplane': 0.8888888888888888, 'automobile': 0.9166666666666666, 'bird': 1.0, 'cat': 0.9565217391304348, 'deer': 0.5294117647058824, 'dog': 0.09982192571041609, 'frog': 0.8888888888888888, 'horse': 0.8125, 'ship': 0.6, 'truck': 1.0}, 0.7692699873991178)","({'airplane': 0.0019831432821021317, 'automobile': 0.00546448087431694, 'bird': 0.0010095911155981827, 'cat': 0.005392156862745098, 'deer': 0.002245508982035928, 'dog': 0.9992467988953051, 'frog': 0.002012578616352201, 'horse': 0.0066924066924066924, 'ship': 0.0015147689977278464, 'truck': 0.0002447381302006853}, 0.1025806172448791)"
2,0.5,0.3,0.2,32,10,0.003,dense,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.0,"({'airplane': 0, 'automobile': 0, 'bird': 0, 'cat': 0.102, 'deer': 0, 'dog': 0, 'frog': 0, 'horse': 0, 'ship': 0, 'truck': 0}, 0.010199999999999999)","({'airplane': 0.0, 'automobile': 0.0, 'bird': 0.0, 'cat': 1.0, 'deer': 0.0, 'dog': 0.0, 'frog': 0.0, 'horse': 0.0, 'ship': 0.0, 'truck': 0.0}, 0.1)"
3,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,3,True,"(2, 2)","[32, 64, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.08,"({'airplane': 0.773444976076555, 'automobile': 0.7651326699834162, 'bird': 0.5168328004513824, 'cat': 0.5626128838049368, 'deer': 0.7049659201557936, 'dog': 0.6750369276218612, 'frog': 0.773497688751926, 'horse': 0.8548031496062992, 'ship': 0.7831081081081082, 'truck': 0.7681511470985155}, 0.7177586271658793)","({'airplane': 0.801437778879524, 'automobile': 0.9167908594138102, 'bird': 0.6935890964159516, 'cat': 0.45808823529411763, 'deer': 0.5419161676646707, 'dog': 0.6884258096911875, 'frog': 0.7577358490566037, 'horse': 0.6985842985842986, 'ship': 0.877808634183287, 'truck': 0.6965247185511503}, 0.7130901447734602)"
4,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,3,True,"(2, 2)","[32, 64, 10]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.0,"({'airplane': 0.10085, 'automobile': 0, 'bird': 0, 'cat': 0, 'deer': 0, 'dog': 0, 'frog': 0, 'horse': 0, 'ship': 0, 'truck': 0}, 0.010085)","({'airplane': 1.0, 'automobile': 0.0, 'bird': 0.0, 'cat': 0.0, 'deer': 0.0, 'dog': 0.0, 'frog': 0.0, 'horse': 0.0, 'ship': 0.0, 'truck': 0.0}, 0.1)"
5,0.5,0.3,0.2,32,10,0.003,dense,"(3, 3)",relu,10,3,True,"(2, 2)","[32, 64, 10]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.0,"({'airplane': 0, 'automobile': 0, 'bird': 0, 'cat': 0, 'deer': 0.1002, 'dog': 0, 'frog': 0, 'horse': 0, 'ship': 0, 'truck': 0}, 0.01002)","({'airplane': 0.0, 'automobile': 0.0, 'bird': 0.0, 'cat': 0.0, 'deer': 1.0, 'dog': 0.0, 'frog': 0.0, 'horse': 0.0, 'ship': 0.0, 'truck': 0.0}, 0.1)"
6,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,3,True,"(2, 2)","[32, 32, 32]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.08,"({'airplane': 0.7802060568217296, 'automobile': 0.702413929560744, 'bird': 0.5485937064884433, 'cat': 0.3571097730430755, 'deer': 0.6003205128205128, 'dog': 0.5493964030549396, 'frog': 0.684747334260547, 'horse': 0.640189941722426, 'ship': 0.7257130124777184, 'truck': 0.8366459627329192}, 0.6425336632983055)","({'airplane': 0.6194843827466534, 'automobile': 0.8817685047193244, 'bird': 0.497223624432105, 'cat': 0.3779411764705882, 'deer': 0.46731536926147704, 'dog': 0.5598794878232488, 'frog': 0.7431446540880503, 'horse': 0.7634491634491635, 'ship': 0.8222671042665993, 'truck': 0.6593245227606461}, 0.6391797990017856)"
7,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,3,True,"(2, 2)","[32, 16, 16]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.0,"({'airplane': 0, 'automobile': 0.10065, 'bird': 0, 'cat': 0, 'deer': 0, 'dog': 0, 'frog': 0, 'horse': 0, 'ship': 0, 'truck': 0}, 0.010065000000000001)","({'airplane': 0.0, 'automobile': 1.0, 'bird': 0.0, 'cat': 0.0, 'deer': 0.0, 'dog': 0.0, 'frog': 0.0, 'horse': 0.0, 'ship': 0.0, 'truck': 0.0}, 0.1)"
8,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,1,True,"(2, 2)",[64],<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.04,"({'airplane': 0.7819510965465087, 'automobile': 0.8686730506155951, 'bird': 0.8150912106135987, 'cat': 0.8377018797987821, 'deer': 0.6570479551588125, 'dog': 0.7491929476036752, 'frog': 0.7368180780643688, 'horse': 0.8927994833710042, 'ship': 0.7965390665967488, 'truck': 0.7520115535382711}, 0.7887826321907365)","({'airplane': 0.7689638076351016, 'automobile': 0.7886239443616493, 'bird': 0.7443210499747602, 'cat': 0.7754901960784314, 'deer': 0.7896706586826348, 'dog': 0.7574692442882249, 'frog': 0.8120754716981132, 'horse': 0.7117117117117117, 'ship': 0.766978035849533, 'truck': 0.8920704845814978}, 0.7807374604861659)"
9,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,1,True,"(2, 2)",[96],<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.08,"({'airplane': 0.8773965691220988, 'automobile': 0.9061267420457534, 'bird': 0.8720596672403901, 'cat': 0.7553796685629484, 'deer': 0.8310527785534767, 'dog': 0.8123366440146367, 'frog': 0.6464394074602892, 'horse': 0.9061677871967261, 'ship': 0.9081932212436616, 'truck': 0.7898806893504198}, 0.83050331747904)","({'airplane': 0.8621715418939019, 'automobile': 0.8559364133134625, 'bird': 0.7672892478546188, 'cat': 0.7485294117647059, 'deer': 0.7425149700598802, 'dog': 0.7803163444639719, 'frog': 0.9111949685534592, 'horse': 0.797940797940798, 'ship': 0.8591264832113102, 'truck': 0.8749388154674498}, 0.8199958994523557)"
10,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 32]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.12,"({'airplane': 0.7533440342429106, 'automobile': 0.848393298544356, 'bird': 0.6972304382898629, 'cat': 0.44742489270386265, 'deer': 0.6174266752301434, 'dog': 0.6650803093396788, 'frog': 0.8234055354993983, 'horse': 0.874888823006226, 'ship': 0.7873783544677087, 'truck': 0.6667951435729428}, 0.718136750489709)","({'airplane': 0.6980664352999504, 'automobile': 0.7672627918529558, 'bird': 0.654467440686522, 'cat': 0.6132352941176471, 'deer': 0.719560878243513, 'dog': 0.5613858900326387, 'frog': 0.6885534591194968, 'horse': 0.7595881595881596, 'ship': 0.6740722039888917, 'truck': 0.846793930494371}, 0.6982986483424145)"
11,0.5,0.3,0.2,32,5,0.003,convo,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.14,"({'airplane': 0.8204836415362731, 'automobile': 0.8132749817651349, 'bird': 0.5109058754175673, 'cat': 0.519889502762431, 'deer': 0.4972813774354327, 'dog': 0.5861728395061728, 'frog': 0.7366277491175672, 'horse': 0.6921107749592739, 'ship': 0.8096976016684045, 'truck': 0.8389003842743128}, 0.6825344728442571)","({'airplane': 0.7149231531978185, 'automobile': 0.830849478390462, 'bird': 0.6562342251388188, 'cat': 0.4612745098039216, 'deer': 0.5476546906187625, 'dog': 0.5960331408486066, 'frog': 0.6825157232704403, 'horse': 0.7655083655083655, 'ship': 0.7841454178237819, 'truck': 0.6945668135095447}, 0.6733705518110523)"
12,0.5,0.3,0.2,32,8,0.003,convo,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.06,"({'airplane': 0.833976833976834, 'automobile': 0.8810389610389611, 'bird': 0.823669342848647, 'cat': 0.5948348856900931, 'deer': 0.6122973507315145, 'dog': 0.7422308546059934, 'frog': 0.812984496124031, 'horse': 0.8388859968766268, 'ship': 0.8728961114335462, 'truck': 0.7987804878048781}, 0.7811595321131125)","({'airplane': 0.8031730292513634, 'automobile': 0.8425235966219573, 'bird': 0.6991418475517416, 'cat': 0.6887254901960784, 'deer': 0.7727045908183633, 'dog': 0.6716043183530003, 'frog': 0.8442767295597484, 'horse': 0.8296010296010295, 'ship': 0.7594041908608937, 'truck': 0.8015173764072443}, 0.771267219922142)"
13,0.5,0.3,0.2,32,10,0.003,convo,"(3, 3)",relu,10,2,True,"(2, 2)","[32, 64]",<class 'keras.optimizers.optimizer_v2.adam.Adam'>,sparse_categorical_crossentropy,0.0,"({'airplane': 1.0, 'automobile': 1.0, 'bird': 1.0, 'cat': 0.9090909090909091, 'deer': 1.0, 'dog': 0.5, 'frog': 1.0, 'horse': 0.09715788155753098, 'ship': 1.0, 'truck': 0}, 0.750624879064844)","({'airplane': 0.0009915716410510659, 'automobile': 0.003229011425732737, 'bird': 0.0005047955577990914, 'cat': 0.0024509803921568627, 'deer': 0.00124750499001996, 'dog': 0.0025106703489831783, 'frog': 0.002012578616352201, 'horse': 0.9987129987129987, 'ship': 0.0005049229992426155, 'truck': 0.0}, 0.10121650346843365)"
